item_id|title|subtitle|categories|author_name|image_url|description
B00INCFT80|The Lore of the Evermen: The Evermen Saga, Book 4|Kindle Edition|[  Literature & Fiction]|James Maxwell|https://m.media-amazon.com/images/I/51LVHNXzszL.jpg|[About the Author, 'James Maxwell grew up in the scenic Bay of Islands, New Zealand, and was educated in Australia. Devouring fantasy and science-fiction classics from an early age, his love for books translated to a passion for writing, which he began at the age of eleven.', 'Inspired by the natural beauty around him but also by a strong interest in history, he decided in his twenties to see the world. He relocated to London and then to Thailand, Mexico, Austria, and Malta, developing a lifelon
B01KGZVTOE|Eleanor Oliphant Is Completely Fine: A Novel|Kindle Edition|[  Literature & Fiction]|Gail Honeyman|https://m.media-amazon.com/images/I/51EG4IblfoL.jpg|"[Review, “A charmer. . . satisfyingly quirky.”, '—Janet Maslin,', The New York Times, '""This wacky, charming novel. . . draws you in with humor, then turns out to contain both a suspenseful subplot and a sweet romance. . . Hilarious and moving.""', —, People, '“Eleanor Oliphant is a quirky loner and a model of efficiency with her routine of frozen pizza, vodka and weekly phone calls with Mummy. [She’s] a woman beginning to heal from unimaginable tragedy, with a voice that is deadpan, heartbreakin"
B0088A0XQK|A Fall of Water: An Elemental Vampire Fantasy Novel (Elemental Mysteries Book 4)||[  Romance]|Elizabeth Hunter|https://m.media-amazon.com/images/I/51DDo-fefCL.jpg|[Review, 'I\'ve decided that anything that Elizabeth Hunter writes, I\'m going to read. She really knows how to unwind a story with perfect timing and as they say in the music world - perfect pitch. Beautiful love story, beautiful friendships, intense mystery and drama. I give this book a five star rating! --', Scandalicious Book Reviews, 'A brilliant series finale for Ms. Hunter. I love the complexity, mystery, and subterfuge woven throughout the story. The cast of characters was as strong as e
B00PUW4J50|A Crime of Passion: A Legal Thriller (Joe Dillard Series Book 7)|Kindle Edition|[  Literature & Fiction]|Scott Pratt|https://m.media-amazon.com/images/I/51Y50dwvaoL.jpg|[From the Author, SCOTT PRATT, is a, Wall Street Journal, 'bestselling author whose books have sold more than five million copies. He was born in South Haven, Michigan, and grew up in Jonesborough, Tennessee. He was a veteran of the United States Air Force and earned a Bachelor of Arts degree in English from East Tennessee State University and a Doctor of Jurisprudence from the University of Tennessee.', BOOKS IN THE JOE DILLARD SERIES, An Innocent Client, An Innocent Client, In Good Faith, In G
B00K6N75LS|The Murder Pit (A Moose River Mystery Book 1)|Kindle Edition|[  'Mystery, Thriller & Suspense']|Jeff Shelby|https://m.media-amazon.com/images/I/513CUhXjeqL.jpg|[]
B007ZDKDS4|Dead Weight (Lizzy Gardner Series, Book 2)|Kindle Edition|[  'Mystery, Thriller & Suspense']|T.R. Ragan|https://m.media-amazon.com/images/I/41lgGl-dcwL.jpg|[About the Author, 'New York Times and USA Today bestselling author Theresa Ragan, mother of four, lives with her husband in Sacramento, California. In 2012, shesigned with Thomas & Mercer and has sold 1.8 million books. Besideswriting thrillers under the name T.R. Ragan (including the Lizzy Gardner novels Abducted, Dead Weight, A Dark Mind, Obsessed, Almost Dead, andEvil Never Dies), Theresa also writes medieval time travels,contemporary romance, and romantic suspense. Furious is the first nove
B00E2VJVGW|Thief (Love Me With Lies Book 3)|Kindle Edition|[  Romance]|Tarryn Fisher||[About the Author, 'Tarryn Fisher was born in Johannesburg, South Africa. She currently resides near Seattle with her family. She writes and reads more than she sleeps and has a wicked coffee addiction.']
B00267T89E|The List (The Konrath Dark Thriller Collective Book 1)|Kindle Edition|[  'Mystery, Thriller & Suspense']|No Disponible||[]
B00FFFNA1Q|Shadow Spell (The Cousins O'Dwyer Trilogy, Book 2)|Kindle Edition|[  Literature & Fiction]|Nora Roberts|https://m.media-amazon.com/images/I/51jmXP4o6nL.jpg|[Review, Praise for Nora Roberts, “America’s favorite writer.”—, The New Yorker, '“When it comes to true romance, no one does it better than Nora.”—', Booklist, '(starred review)', About the Author, Nora Roberts is the #1 New York Times bestselling author of more than 200 novels. She is also the author of the bestselling futuristic suspense series written under the pen name J. D. Robb. There are more than 400 million copies of her books in print., --This text refers to an alternate, kindle_editi
B07QF3KCPV|No Perfect Hero (Heroes of Heart's Edge Book 1)|Kindle Edition|[  Literature & Fiction]|Nicole Snow|https://m.media-amazon.com/images/I/518qurkFQWL.jpg|"[Review, 'Praise for No Perfect Hero:', '""Snappy dialogue, real relationships, action, and intrigue. It\'s got everything, babes."" -Lisa, Reviewer', '""Dreams do come true...Nicole Snow has written an amazing slow burning romance that will have you self-combusting."" -Linda, Reviewer', '""It\'s packed full with action, romance...and enough push and pull to have any reader cheering for more."" -Elysian, Reviewer', '""I love how Nicole gives these memorable names and such smart and seductive writing th"
B000FC10S4|Bel Canto|Kindle Edition|[  Literature & Fiction]|Ann Patchett|https://m.media-amazon.com/images/I/411yswXiYYL.jpg|[From, AudioFile, 'Mixing art and politics can have unexpected results, but rarely are they so poignant. A birthday party is held for a Japanese CEO in an anonymous Spanish-speaking country. World-class lyric soprano Roxane Coss is the irresistible bait for the opera-loving Mr. Hosokawa. As she finishes singing, terrorists burst in and take everyone hostage. So begins a four-and-a-half-month siege, during which friendships and love grow between guests and gunmen. Anna Fields offers up each momen
B087BGVNRP|The Silent Daughter (Claire Amarti Book Club Reads)|Kindle Edition|[  Literature & Fiction]|Claire Amarti|https://m.media-amazon.com/images/I/51p53YWLCSL.jpg|[Review, Review]
B00DA9PX0A|To All the Boys I've Loved Before|Kindle Edition|[  'Children\'s eBooks']|Jenny Han|https://m.media-amazon.com/images/I/51Tye4pya9L.jpg|"[Amazon.com Review, 'Jenny Han\'s To All the Boys I\'ve Loved Before Playlist', 'For every book I write, I create a playlist that I go back to again and again to help transport me into the story and into the main character\'s mindset. The To All the Boys playlist is a blend of songs that Lara Jean would listen to, songs that remind me of her, and songs that score certain scenes in my head.', 'Playlist:', '1. ""Please Speak Well of Me"" by The Weepies: I came back to this song again and again becau"
